# Spatial-averaged data for fix zcnt_hi and group z_hi
# Timestep Number-of-bins
# Bin Coord Ncount v_temp
20810000 20
21030000 20
  1 0.025 966.57 319.218
  2 0.075 977.43 321.961
  3 0.125 978.77 317.36
  4 0.175 977.23 325.144
  5 0.225 978.86 319.899
  6 0.275 977.14 317.113
  7 0.325 980.04 319.102
  8 0.375 975.99 316.906
  9 0.425 980.87 316.319
  10 0.475 975.1 315.769
  11 0.525 982.01 318.272
  12 0.575 973.99 317.789
  13 0.625 981.7 318.268
  14 0.675 974.3 322.789
  15 0.725 978.59 325.614
  16 0.775 977.41 321.551
  17 0.825 978.08 318.411
  18 0.875 977.92 315.306
  19 0.925 977.16 317.24
  20 0.975 966.84 321.444
21040000 20
  1 0.025 966.28 315.763
  2 0.075 977.72 322.849
  3 0.125 977.86 320.02
  4 0.175 978.14 319.067
  5 0.225 976.86 313.908
  6 0.275 979.14 323.908
  7 0.325 974.16 318.219
  8 0.375 981.84 318.336
  9 0.425 973.85 322.737
  10 0.475 982.15 315.991
  11 0.525 974.29 317.568
  12 0.575 981.71 314.738
  13 0.625 975.59 325.216
  14 0.675 980.41 321.09
  15 0.725 976.52 324.407
  16 0.775 979.48 324.822
  17 0.825 976.56 318.185
  18 0.875 979.44 313.899
  19 0.925 977.04 319.505
  20 0.975 966.96 321.648
21050000 20
  1 0.025 966.81 320.463
  2 0.075 977.19 319.722
  3 0.125 978.79 318.806
  4 0.175 977.21 319.087
  5 0.225 979.15 318.886
  6 0.275 976.85 316.647
  7 0.325 980.09 318.59
  8 0.375 975.92 324.749
  9 0.425 981.36 321.016
  10 0.475 974.63 318.719
  11 0.525 982.07 312.999
  12 0.575 973.93 317.666
  13 0.625 981.58 318.246
  14 0.675 974.42 330.072
  15 0.725 979.22 322.714
  16 0.775 976.78 318.991
  17 0.825 978.25 317.295
  18 0.875 977.75 315.7
  19 0.925 977.39 322.313
  20 0.975 966.61 319.846
21060000 20
  1 0.025 966.54 314.905
  2 0.075 977.46 317.579
  3 0.125 977.56 322.057
  4 0.175 978.44 314.373
  5 0.225 976.54 312.549
  6 0.275 979.46 317.176
  7 0.325 974.69 329.151
  8 0.375 981.31 324.291
  9 0.425 974.1 318.224
  10 0.475 981.9 317.045
  11 0.525 974.65 318.981
  12 0.575 981.31 314.446
  13 0.625 976.26 319.982
  14 0.675 979.78 331.216
  15 0.725 977.44 322.185
  16 0.775 978.56 315.701
  17 0.825 977.01 318.656
  18 0.875 978.99 316.992
  19 0.925 977.09 317.647
  20 0.975 966.91 324.765
21070000 20
  1 0.025 966.71 320
  2 0.075 977.29 323.597
  3 0.125 979.54 316.56
  4 0.175 976.46 315.982
  5 0.225 978.87 314.707
  6 0.275 977.13 320.141
  7 0.325 980.06 321.031
  8 0.375 976.04 324.564
  9 0.425 980.86 323.421
  10 0.475 975.04 323.432
  11 0.525 981.82 315.648
  12 0.575 974.18 312.46
  13 0.625 981.31 322.772
  14 0.675 974.69 319.727
  15 0.725 979.63 318.543
  16 0.775 976.37 314.797
  17 0.825 978.41 315.94
  18 0.875 977.59 320.134
  19 0.925 977.73 323.117
  20 0.975 966.27 320.67
21080000 20
  1 0.025 966.14 318.132
  2 0.075 977.86 316.708
  3 0.125 977.78 322.663
  4 0.175 978.22 313.568
  5 0.225 976.52 323.43
  6 0.275 979.48 326.579
  7 0.325 974.66 321.267
  8 0.375 981.34 320.67
  9 0.425 974.25 317.892
  10 0.475 981.75 319.494
  11 0.525 974.89 315.506
  12 0.575 981.08 320.203
  13 0.625 976.25 317.69
  14 0.675 979.78 318.917
  15 0.725 977.65 314.54
  16 0.775 978.35 317.659
  17 0.825 977.26 320.938
  18 0.875 978.74 327.287
  19 0.925 976.65 324.283
  20 0.975 967.35 316.395
21090000 20
  1 0.025 967.48 319.815
  2 0.075 976.52 316.932
  3 0.125 979.04 317.654
  4 0.175 976.96 320.616
  5 0.225 978.67 323.696
  6 0.275 977.33 319.771
  7 0.325 979.77 317.451
  8 0.375 976.25 322.95
  9 0.425 981.12 319.614
  10 0.475 974.86 318.782
  11 0.525 981.63 318.827
  12 0.575 974.37 322.893
  13 0.625 981.37 318.358
  14 0.675 974.63 319.518
  15 0.725 979.81 317.78
  16 0.775 976.19 321.792
  17 0.825 978.01 319.526
  18 0.875 977.99 316.221
  19 0.925 977.5 319.215
  20 0.975 966.5 319.634
21100000 20
  1 0.025 966.76 316.155
  2 0.075 977.24 314.623
  3 0.125 977.84 323.262
  4 0.175 978.16 315.004
  5 0.225 976.48 323.132
  6 0.275 979.52 321.091
  7 0.325 974.73 323.665
  8 0.375 981.27 323.39
  9 0.425 974.55 319.606
  10 0.475 981.45 317.068
  11 0.525 975.3 319.995
  12 0.575 980.57 317.832
  13 0.625 976.96 320.699
  14 0.675 979.17 319.381
  15 0.725 977.48 319.445
  16 0.775 978.52 313.367
  17 0.825 977.12 318.782
  18 0.875 978.88 321.514
  19 0.925 977.18 320.915
  20 0.975 966.82 321.795
21110000 20
  1 0.025 967.08 315.189
  2 0.075 976.92 319.195
  3 0.125 978.47 318.278
  4 0.175 977.54 317.943
  5 0.225 978.32 326.086
  6 0.275 977.67 324.252
  7 0.325 978.51 323.336
  8 0.375 977.52 320.393
  9 0.425 979.5 318.307
  10 0.475 976.47 318.044
  11 0.525 981.21 318.901
  12 0.575 974.78 320.053
  13 0.625 980.84 323.883
  14 0.675 975.17 310.781
  15 0.725 979.66 313.095
  16 0.775 976.34 318.067
  17 0.825 978.29 319.478
  18 0.875 977.71 317.173
  19 0.925 977.36 323.644
  20 0.975 966.64 327.016
21120000 20
  1 0.025 966.18 315.487
  2 0.075 977.82 320.801
  3 0.125 977.55 316.056
  4 0.175 978.45 319.641
  5 0.225 976.13 321.498
  6 0.275 979.87 324.262
  7 0.325 975.12 321.116
  8 0.375 980.88 320.804
  9 0.425 974.9 317.812
  10 0.475 981.1 321.45
  11 0.525 976.78 321.509
  12 0.575 979.2 320.545
  13 0.625 977.39 319.393
  14 0.675 978.63 317.373
  15 0.725 978.02 317.986
  16 0.775 977.98 319.354
